user,movie,predicted_rating
4,264,4.146045
4,357,4.672913
4,356,4.728735
4,358,4.0397243
4,328,4.2328176
4,260,3.913178
4,210,4.5535893
4,354,4.680438
4,303,4.2544775
4,362,4.2606373
4,324,3.988162
4,327,4.292259
4,329,4.2960835
4,288,4.3015785
4,360,4.253708
4,359,4.8300505
4,258,4.4661055
4,300,4.447152
4,301,4.3078575
4,271,4.403969
4,11,4.3987594
4,50,4.679704
4,361,5.056746
4,294,4.33435
8,55,3.8585653
8,273,3.884811
8,689,3.7744424
8,144,4.055192
8,431,3.7897067
8,341,3.7925012
8,259,2.9468052
8,177,4.044046
8,566,3.810037
8,96,4.033645
8,229,3.0025113
8,336,2.9988878
8,233,3.8586168
8,358,2.9961972
8,182,4.0052414
8,457,2.949218
8,89,3.9762459
8,82,3.852983
8,518,3.8898559
8,687,3.289596
8,241,3.8243313
8,568,3.9404776
8,7,3.7461216
8,50,4.465455
8,550,3.4110012
8,338,3.4118216
8,190,4.4121804
8,686,4.332939
8,172,4.3122196
8,435,4.2777486
8,174,4.2777486
8,243,3.1630702
8,403,3.5681722
8,227,3.5783393
8,79,4.212719
8,385,3.6472456
8,22,4.1653304
8,11,4.162366
8,187,4.162366
8,301,3.6661406
8,228,4.149817
8,188,3.68337
8,127,4.14833
8,684,3.9694571
8,511,4.136565
8,688,1.8946265
8,685,3.7422323
8,294,3.7439222
8,181,4.089572
8,210,3.968707
8,510,4.157256
8,176,3.9434073
8,651,3.9134467
8,260,2.9063096
8,258,3.9425142
8,183,3.958796
8,222,3.963141
8,195,3.9382818
8,56,3.9549088
17,126,3.1567075
17,628,3.1549988
17,744,3.4545588
17,475,3.4633992
17,137,3.2627885
17,508,3.2015078
17,294,2.8543816
17,125,3.332014
17,323,2.6496902
17,1,3.4052298
17,222,3.3441427
17,117,3.4052837
17,243,2.306716
17,151,3.1948192
17,286,3.2358623
17,471,3.5896692
17,7,3.1824446
17,111,3.3818383
17,221,3.4144628
17,100,3.513165
17,276,3.263222
17,269,3.5489519
17,9,3.415349
17,13,2.903154
17,150,3.4256396
17,919,3.437609
17,237,3.4188776
17,245,2.7690866
19,382,3.7925951
19,310,3.7964644
19,288,3.488197
19,210,3.9871168
19,313,4.4300275
19,435,4.2272396
19,692,3.63778
19,887,3.63778
19,202,3.7796583
19,319,3.2141051
19,655,3.6154282
19,8,3.8315792
19,258,3.772561
19,268,3.7591867
19,294,3.273325
19,211,3.716714
19,4,3.5760558
19,153,3.4127476
19,201,3.2856522
19,325,2.8476198
20,151,3.310066
20,763,3.094661
20,568,3.465638
20,11,3.4202173
20,176,3.4490726
20,678,2.6220756
20,498,3.6452777
20,186,3.6452777
20,144,3.3388822
20,204,3.4112709
20,274,3.3075116
20,143,3.477156
20,934,2.6101465
20,208,3.4784434
20,378,3.2537944
20,496,4.14342
20,69,3.4595838
20,405,3.0515869
20,82,3.202545
20,22,3.6558247
20,181,3.4116588
20,98,3.659582
20,588,3.421785
20,423,3.334507
20,210,3.3070934
20,121,3.2465453
20,1,3.2814798
20,866,3.1551087
20,118,3.2423596
20,288,3.1803818
20,87,3.392391
20,323,2.5697474
20,194,3.6080093
20,931,2.0762475
20,742,3.265989
20,172,3.6225765
20,243,2.2562368
20,174,3.5880263
20,148,3.2627563
20,597,2.895096
20,357,3.6232452
20,95,3.6293783
20,820,2.5989983
20,633,3.124594
20,15,3.5266855
20,50,3.1752212
20,94,2.5952668
20,252,2.5989983
23,512,4.0860796
23,215,4.2528896
23,151,3.4417627
23,257,3.756658
23,504,4.2535806
23,739,3.314479
23,217,3.3576188
23,109,3.3402245
23,172,4.3745375
23,526,3.4468877
23,144,3.9558465
23,213,4.2535806
23,747,3.4468877
23,55,3.7448933
23,652,4.0990295
23,170,4.297974
23,13,3.0642457
23,19,4.3732324
23,98,4.3726854
23,423,3.731078
23,419,3.7521853
23,856,3.2644656
23,99,3.5587702
23,1006,3.439403
23,603,4.405634
23,1,3.9577622
23,79,4.2773414
23,203,3.7887146
23,414,3.5218008
23,527,4.0599427
23,62,3.0301793
23,50,4.4929056
23,171,3.5440383
23,194,4.273424
23,705,4.2658567
